,Autor_libro,Nota_promedio_libro,Votos_libro
894,Kristen Ashley,4.16,33734.0
895,Boris Akunin,4.05,7446.0
898,Alexander C. Irvine,4.13,475.0
899,Guadalupe Nettel,3.87,3294.0
900,Saari A.M.,0.0,0.0
901,Stephen King,4.09,107210.0
902,Mary Norton,3.6,5.0
904,Charles Portis,4.15,51916.0
905,Inger Wolf,3.99,78.0
906,Annie Auerbach,4.23,231.0
908,Mark Millar,4.06,39378.0
909,Francisco Pérez Gandul,3.62,101.0
911,Pedro Almodóvar,4.07,56.0
912,Gena Showalter,4.03,42865.0
913,Morton Rhue,3.61,28481.0
915,Michael Lewis,4.17,92389.0
918,Jessica Fox,3.66,38.0
919,Neil Gaiman,4.1,418206.0
920,Tomm Moore,4.78,40.0
921,Mike Carey,3.88,11163.0
922,Dennis Lehane,4.15,36686.0
923,Laura Florand,3.92,1516.0
926,Ed James,4.39,716.0
927,J.K. Rowling,4.58,2982975.0
928,Frank Miller,3.97,50215.0
929,Erynn Mangum,4.34,1812.0
930,Alan Moore,4.37,532788.0
931,Kathryn Le Veque,4.29,1223.0
933,Charlie Kaufman,4.58,178.0
934,Scott Heim,4.11,9631.0
936,Sébastien Japrisot,3.9,6735.0
938,Guillermo Arriaga,3.96,320.0
940,Frederic P. Miller,4.5,14.0
941,David Benioff,3.81,5825.0
942,Jon Ronson,3.94,5004.0
943,Alex Garland,4.11,1138.0
944,Koushun Takami,4.5,8.0
945,Wes Anderson,4.32,592.0
946,Carlos Cuaron,3.9,20.0
947,J.K. Rowling,4.47,9060225.0
950,Kyle Mills,4.42,16643.0
951,Philip K. Dick,3.84,21120.0
953,Bret Easton Ellis,3.82,280037.0
954,Tom Tykwer,3.85,40.0
955,James Jones,3.99,13372.0
957,Hunter S. Thompson,4.07,330160.0
962,Jane Austen,4.08,1110640.0
963,Deborah Chiel,3.47,57.0
965,Robert James Waller,3.66,90425.0
975,Nora Ephron,4.26,3746.0
976,Hans Christian Andersen,3.99,24895.0
978,Darrin Zeer,3.68,41.0
979,Joel Norst,3.57,67.0
981,Ernest Thompson,4.1,555.0
982,George Miller,3.73,129.0
984,Katharine Turner,3.59,58.0
985,J. Campbell Bruce,3.61,786.0
986,Richard Adams,4.07,463886.0
987,Billy Hayes,4.04,3910.0
988,Steven Spielberg,4.11,12910.0
989,Raymond Chandler,4.19,39529.0
991,Rebecca Joyce,4.02,372.0
992,Rudyard Kipling,3.91,116360.0
993,Todd Borg,4.05,429.0
994,Sherrilyn Kenyon,3.91,1220.0
995,Truman Capote,3.86,245413.0
997,Caitlin Doughty,4.29,33623.0
999,John Buchan,3.61,37455.0
